bucket,calibration,filter_rate,gate,gate_recall_on_positive_tiles,label,mAP@0.50,mAP@0.55,mAP@0.5:0.95,mAP@0.60,mAP@0.65,mAP@0.70,mAP@0.75,mAP@0.80,mAP@0.85,mAP@0.90,mAP@0.95,n_classes,n_gt_tiles,n_tiles,skipped,stratum,threshold
GoogleEarth,temperature,0.8305697919807055,real,0.8919354838709678,gate_planes_resnet18_temperature,0.8773104934959096,0.8668028380488538,0.6050654625353987,0.8460114544536467,0.8232728408783001,0.7884936268717749,0.727728343705497,0.6083422773149665,0.3870915088430031,0.12251119627579604,0.0030900454662390517,1,3317,3317,,imagesource,0.7000000000000001
JL,temperature,0.974703557312253,real,0.45454545454545453,gate_planes_resnet18_temperature,0.3339157364868,0.33344310299996605,0.19363251912475907,0.3176070584725966,0.30757576080814286,0.27967584856268934,0.20642795938549574,0.11717881582650876,0.035201340287011246,0.005299568418380299,0.0,1,1265,1265,,imagesource,0.7000000000000001
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.7000000000000001
GF,temperature,0.9902097902097902,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.75
GoogleEarth,temperature,0.8335845643653904,real,0.8774193548387097,gate_planes_resnet18_temperature,0.8771460239931861,0.8666490288700521,0.6049413488132822,0.8458655473548661,0.8230352967976138,0.7884128010529159,0.727755910660677,0.608122047791716,0.3869313163808553,0.12240366192796336,0.003091853302977356,1,3317,3317,,imagesource,0.75
JL,temperature,0.9762845849802372,real,0.43636363636363634,gate_planes_resnet18_temperature,0.32410927874337236,0.3237774253658429,0.19006844334655829,0.307959076546029,0.3065614178652103,0.27054612384108073,0.2087410309417869,0.11834730992161689,0.03532057960573861,0.005322190634905075,0.0,1,1265,1265,,imagesource,0.75
unknown,temperature,,real,,gate_planes_resnet18_temperature,,,,,,,,,,,,,0,0,1.0,imagesource,0.75
GF,temperature,0.9902097902097902,real,0.5384615384615384,gate_planes_resnet18_temperature,0.8302163549688302,0.8196333369600697,0.5635061825581864,0.8196333369600697,0.7909367859862909,0.7680724803249556,0.7334031480071085,0.530792227762365,0.3104109352487639,0.030163039345409193,0.0018001800180018003,1,715,715,,imagesource,0.8
GoogleEarth,temperature,0.8356949050346699,real,0.8709677419354839,gate_planes_resnet18_temperature,0.8770491124037912,0.8665477648837617,0.6036122229632148,0.845688737312253,0.8227747620432122,0.7881584711273671,0.7275354684774804,0.6012058701849725,0.38165772194807734,0.12241246794825619,0.003091853302977356,1,3317,3317,,imagesource,0.8
JL,temperature,0.9802371541501976,real,0.38181818181818183,gate_planes_resnet18_temperature,0.2742025195146625,0.27372839510671715,0.15965214191558066,0.2622141587223738,0.2521572816287702,0.22931097981975304,0.16926788832729428,0.10297871560247797,0.02771098538425271,0.0049504950495049506,0.0,1,1265,1265,,imagesource,0.8
